VaccinationDate,age_group,first_dose,second_dose
2021-01-27,60-69,3742,27936
2021-01-27,50-59,9436,22379
2021-01-27,40-49,20610,15939
2021-01-27,30-39,14171,9821
2021-01-27,90+,255,2406
2021-01-27,70-79,1974,19857
2021-01-28,0-19,12393,1596
2021-01-28,20-29,16231,9773
2021-01-28,80-89,755,9049
2021-01-28,70-79,1749,18559
2021-01-28,60-69,3435,27470
2021-01-28,90+,198,2040
2021-01-28,30-39,20437,11745
2021-01-28,50-59,8503,26688
2021-01-28,40-49,18457,19438
2021-01-29,0-19,5377,1447
2021-01-29,80-89,286,3216
2021-01-29,90+,50,654
2021-01-29,20-29,5940,4687
2021-01-29,50-59,3955,13925
2021-01-29,30-39,10650,7169
2021-01-29,40-49,9507,13435
2021-01-29,60-69,1397,11296
2021-01-29,70-79,608,7065
2021-01-30,0-19,4769,824
2021-01-30,20-29,5076,2990
2021-01-30,80-89,178,1834
2021-01-30,40-49,9354,10162
2021-01-30,30-39,10380,5405
2021-01-30,90+,34,423
2021-01-30,70-79,479,3936
2021-01-30,60-69,1096,6587
2021-01-30,50-59,3569,9553
2021-01-31,80-89,725,3585
2021-01-31,70-79,1655,7153
2021-01-31,30-39,21242,6865
2021-01-31,40-49,17269,11798
2021-01-31,90+,180,775
2021-01-31,60-69,3193,10708
2021-01-31,20-29,13670,4158
2021-01-31,50-59,7794,11655
2021-01-31,0-19,8610,897
2021-02-01,90+,240,391
2021-02-01,80-89,885,1682
2021-02-01,30-39,23678,4585
2021-02-01,70-79,1800,3423
2021-02-01,60-69,3262,5091
2021-02-01,40-49,15884,7853
2021-02-01,50-59,8145,7493
2021-02-01,0-19,8910,441
2021-02-01,20-29,20157,2892
2021-02-02,50-59,6500,7945
2021-02-02,40-49,13083,5554
2021-02-02,60-69,2907,4641
2021-02-02,30-39,17805,3345
2021-02-02,90+,246,306
2021-02-02,70-79,1714,2664
2021-02-02,20-29,14696,2188
2021-02-02,80-89,880,1411
2021-02-02,0-19,7056,331
